sample_id,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_100kb_R941,coverage_100kb_R1041
HG04187,28.4,0,28.4,38.74,35.87,14349653,16.28,35.65
HG04160,58.5,0,58.5,48.9,35.59,22162092,20.05,45.14
HG03816,59.9,0,59.9,162.41,33.06,17784728,24.32,23.4
HG03927,60,44,52.8,100.16,35.32,17408754,23.82,33.79
HG02647,60.1,45.2,54.7,114.93,40.3,17358721,16.99,37.86
HG04157,60.3,0,60.3,154.56,37.15,15201610,29.33,21.76
HG01884,60.52,38.92,55.4,180.82,37.73,17230581,19.83,36.76
HG00706,61.1,0,61.1,168.4,36.79,18556044,22.83,28.62
HG02293,62.04,37.04,56.2,165.24,36.27,19494100,35.26,25.44
HG02135,62.36,43.96,54.4,118.56,38,14557870,25.32,39.18
HG02071,62.62,38.02,56.8,152.99,38.53,14820699,20.82,27.08
HG04184,62.66,42.86,54.8,79.84,34.59,17810995,21.95,26.07
HG01981,63.08,38.78,58.3,207.78,36.75,21593908,17.76,22.63
HG01496,63.09,38.69,57.7,72.64,34.29,18989268,30.93,32.67
HG02300,63.09,34.49,58.7,84.52,37.86,19252767,27.43,37.9
HG03942,64.17,41.77,57,40.7,36.07,14584636,15.22,24.84
HG01099,64.28,38.28,58.7,195.26,39.71,13316490,22.89,32.08
HG02004,64.4,42.5,59.4,92.44,37.26,16359794,37.02,32.96
HG00642,64.7,47.7,58.2,100.22,37.26,22234824,32.34,27.51
HG02602,65.07,37.77,59.9,170.05,38.55,19086197,20.1,30.87
HG04228,65.93,50.53,57.4,142.2,36.36,18299689,25.35,28.2
HG04204,66.01,35.51,58.8,137.44,36.29,20424547,23.36,34.27
HG02738,66.58,38.88,58.2,99.52,44.89,15035241,23.08,27.99
HG02132,66.62,44.92,61.2,138.23,37.13,13409159,22.92,29.47
HG00544,66.65,45.45,60.9,132.42,35.58,16109300,16.23,24.56
HG01943,66.98,34.98,63.8,124.78,35.67,19708108,19.38,42.88
HG04199,67.58,37.48,62.1,108.03,35.63,17566071,21.33,36.45
HG01346,67.62,46.02,62.6,77.82,36.92,20299109,23.48,23.22
HG00738,68.56,38.06,64.5,93.25,37.06,12066735,26.7,33.61
HG00609,69.06,38.26,65.2,63.26,37.42,22317518,28.36,29.96
HG04115,69.06,35.86,63.8,209.28,34.91,18372188,20.47,29.13
HG03804,69.6,0,69.6,119.85,34.27,19533765,37.8,35.54
HG01255,70.23,35.73,67,102.3,37.61,15967591,26.51,20.47
HG02280,70.99,36.49,66.9,128.88,39.44,21286278,26.97,19.84
HG02615,71.11,34.81,68.3,93.06,39.15,17003779,20.92,21.72
HG02698,71.45,34.15,68.8,41.05,35.75,16574574,22.73,43.76
HG03669,71.89,41.39,67,83.12,37.7,11868526,21.44,23.26
HG01993,72.01,38.71,67.3,85.12,36.57,16580497,37.03,30.08
HG02074,73.36,37.66,67.2,31.48,46.03,11602048,18.66,19.99
HG02809,74.49,43.59,67.6,218.04,37.42,20993500,28.34,23.46
HG03831,76.39,36.49,70.7,92.26,35.69,20725252,30.1,29.66
HG03710,76.64,35.84,73.6,62.92,37.3,19783115,21.84,24.6
