sample_id,biosample_id,population_descriptor,population_abbreviation,trio_available,family_id,paternal_id,maternal_id,sex,tissue,collection,alternative_id,notes
HG04184,SAMN26267397,Bengali in Bangladesh,BEB,TRUE,BD61,HG04182,HG04183,female,B-Lymphocyte,1000G,,
HG01993,SAMN26237501,"Peruvian in Lima, Peru",PEL,TRUE,PEL29,HG01991,HG01992,female,B-Lymphocyte,1000G,,
HG03831,SAMN26237514,Bengali in Bangladesh,BEB,TRUE,BD27,HG03830,HG03829,female,B-Lymphocyte,1000G,,
HG01346,SAMN26267379,"Colombian in Medellin, Colombia",CLM,TRUE,CLM27,HG01344,HG01345,female,B-Lymphocyte,1000G,,
HG00642,SAMN26267378,Puerto Rican in Puerto Rico,PUR,TRUE,PR04,HG00640,HG00641,male,B-Lymphocyte,1000G,,
HG03927,SAMN26267386,Bengali in Bangladesh,BEB,TRUE,BD37,HG03926,HG03925,female,B-Lymphocyte,1000G,,
HG00738,SAMN26237493,Puerto Rican in Puerto Rico,PUR,TRUE,PR07,HG00736,HG00737,male,B-Lymphocyte,1000G,,
HG02647,SAMN26267383,Gambian in Western Division � Mandinka,GWD,TRUE,GB38,HG02645,HG02646,male,B-Lymphocyte,1000G,,
HG02300,SAMN26267395,"Peruvian in Lima, Peru",PEL,TRUE,PEL52,HG02299,HG02298,female,B-Lymphocyte,1000G,,
HG02280,SAMN26237505,African Caribbean in Barbados,ACB,TRUE,BB23,HG02307,HG02308,female,B-Lymphocyte,1000G,,
HG01884,SAMN26267393,African Caribbean in Barbados,ACB,TRUE,BB03,HG01885,HG01956,female,B-Lymphocyte,1000G,,
HG01496,SAMN26237497,"Colombian in Medellin, Colombia",CLM,TRUE,CLM64,HG01494,HG01495,female,B-Lymphocyte,1000G,,
HG00609,SAMN26237492,"Han Chinese South, China",CHS,TRUE,SH062,HG00607,HG00608,male,B-Lymphocyte,1000G,,
HG01981,SAMN26237500,"Peruvian in Lima, Peru",PEL,TRUE,PEL27,HG01979,HG01980,female,B-Lymphocyte,1000G,,
HG02004,SAMN26237502,"Peruvian in Lima, Peru",PEL,TRUE,PEL33,HG02002,HG02003,female,B-Lymphocyte,1000G,,
HG01099,SAMN26237494,Puerto Rican in Puerto Rico,PUR,TRUE,PR31,HG01097,HG01098,male,B-Lymphocyte,1000G,,
HG02809,SAMN26237510,Gambian in Western Division � Mandinka,GWD,TRUE,GB63,HG02807,HG02808,female,B-Lymphocyte,1000G,,
HG01943,SAMN26237499,"Peruvian in Lima, Peru",PEL,TRUE,PEL016,HG01941,HG01942,male,B-Lymphocyte,1000G,,
HG02293,SAMN26267394,"Peruvian in Lima, Peru",PEL,TRUE,PEL51,HG02291,HG02292,female,B-Lymphocyte,1000G,,
HG02615,SAMN26237508,Gambian in Western Division � Mandinka,GWD,TRUE,GB29,HG02613,HG02614,female,B-Lymphocyte,1000G,,
HG02738,SAMN26267396,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK27,HG02736,HG02737,male,B-Lymphocyte,1000G,,
HG03669,SAMN26237512,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK58,HG03667,HG03668,female,B-Lymphocyte,1000G,,
HG01255,SAMN26237495,"Colombian in Medellin, Colombia",CLM,TRUE,CLM15,HG01253,HG01254,male,B-Lymphocyte,1000G,,
HG00706,SAMN37706905,"Han Chinese South, China",CHS,TRUE,SH090,HG00704,HG00705,male,B-Lymphocyte,1000G,,
HG00544,SAMN26237491,"Han Chinese South, China",CHS,TRUE,SH042,HG00542,HG00543,female,B-Lymphocyte,1000G,,
HG02132,SAMN26267382,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN080,HG02134,HG02133,male,B-Lymphocyte,1000G,,
HG02074,SAMN26267381,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN066,HG02076,HG02075,male,B-Lymphocyte,1000G,,
HG02071,SAMN26267380,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN065,HG02073,HG02072,male,B-Lymphocyte,1000G,,
HG03942,SAMN26267387,Bengali in Bangladesh,BEB,TRUE,BD42,HG03941,HG03940,male,B-Lymphocyte,1000G,,
HG04187,SAMN37706911,Bengali in Bangladesh,BEB,TRUE,BD62,HG04185,HG04186,male,B-Lymphocyte,1000G,,
HG03804,SAMN37706907,Bengali in Bangladesh,BEB,TRUE,BD18,HG03803,HG03802,female,B-Lymphocyte,1000G,,
HG04160,SAMN37706910,Bengali in Bangladesh,BEB,TRUE,BD53,HG04158,HG04159,male,B-Lymphocyte,1000G,,
HG02135,SAMN26267392,"Kinh in Ho Chi Minh City, Vietnam",KHV,TRUE,VN081,HG02137,HG02136,male,B-Lymphocyte,1000G,,
HG03816,SAMN37706908,Bengali in Bangladesh,BEB,TRUE,BD22,HG03815,HG03814,female,B-Lymphocyte,1000G,,
HG04157,SAMN37706909,Bengali in Bangladesh,BEB,TRUE,BD52,HG04155,HG04156,male,B-Lymphocyte,1000G,,
HG04115,SAMN26267388,Sri Lankan Tamil in the UK,STU,TRUE,ST111,HG03896,HG03894,male,B-Lymphocyte,1000G,,
HG04204,SAMN26267390,Sri Lankan Tamil in the UK,STU,TRUE,ST006,HG03679,HG03642,male,B-Lymphocyte,1000G,,
HG04199,SAMN26267389,Sri Lankan Tamil in the UK,STU,TRUE,ST203,HG04100,HG04099,male,B-Lymphocyte,1000G,,
HG04228,SAMN26267391,Sri Lankan Tamil in the UK,STU,TRUE,ST232,HG04229,HG04227,male,B-Lymphocyte,1000G,,
HG02698,SAMN26237509,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK21,HG02696,HG02697,male,B-Lymphocyte,1000G,,
HG02602,SAMN26237507,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK09,HG02600,HG02601,male,B-Lymphocyte,1000G,,
HG03710,SAMN26237513,"Punjabi in Lahore, Pakistan",PJL,TRUE,PK62,HG03708,HG03709,male,B-Lymphocyte,1000G,,
