sample_id,filename,accession,study,bioproject_accession,biosample_accession,library_strategy,library_source,platform,instrument_model,generator_facility,generator_contact,filetype,coverage,path,total_gbp,production
HG00544,HG00544-24ab-1_S1_L001_R1_001.fastq.gz,SRR30613813,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.22,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L001_R1_001.fastq.gz,25.48,HiC
HG00544,HG00544-24ab-1_S1_L002_R1_001.fastq.gz,SRR30613731,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.18,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L002_R1_001.fastq.gz,25.35,HiC
HG00544,HG00544-24ab-1_S1_L003_R1_001.fastq.gz,SRR30613927,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.21,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L003_R1_001.fastq.gz,25.44,HiC
HG00544,HG00544-24ab-1_S1_L004_R1_001.fastq.gz,SRR30613916,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,7.95,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-1_S1_L004_R1_001.fastq.gz,24.63,HiC
HG00544,HG00544-24ab-2_S2_L001_R1_001.fastq.gz,SRR30613905,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.5,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L001_R1_001.fastq.gz,26.34,HiC
HG00544,HG00544-24ab-2_S2_L002_R1_001.fastq.gz,SRR30613798,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.46,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L002_R1_001.fastq.gz,26.22,HiC
HG00544,HG00544-24ab-2_S2_L003_R1_001.fastq.gz,SRR30613787,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.5,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L003_R1_001.fastq.gz,26.34,HiC
HG00544,HG00544-24ab-2_S2_L004_R1_001.fastq.gz,SRR30613715,SRP305758,PRJNA701308,SAMN26237491,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,8.19,s3://human-pangenomics/working/HPRC/HG00544/raw_data/hic/HG00544-24ab-2_S2_L004_R1_001.fastq.gz,25.38,HiC
HG00609,HG00609-38a-1_S9_L001_R1_001.fastq.gz,SRR30613699,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,5.01,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L001_R1_001.fastq.gz,15.54,HiC
HG00609,HG00609-38a-1_S9_L002_R1_001.fastq.gz,SRR30613637,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,3.75,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L002_R1_001.fastq.gz,11.62,HiC
HG00609,HG00609-38a-1_S9_L003_R1_001.fastq.gz,SRR30613648,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,3.94,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L003_R1_001.fastq.gz,12.22,HiC
HG00609,HG00609-38a-1_S9_L004_R1_001.fastq.gz,SRR30613901,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.86,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-1_S9_L004_R1_001.fastq.gz,15.07,HiC
HG00609,HG00609-38a-2_S10_L001_R1_001.fastq.gz,SRR30613887,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.18,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L001_R1_001.fastq.gz,12.95,HiC
HG00609,HG00609-38a-2_S10_L002_R1_001.fastq.gz,SRR30613621,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,2.75,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L002_R1_001.fastq.gz,8.51,HiC
HG00609,HG00609-38a-2_S10_L003_R1_001.fastq.gz,SRR30613769,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,3.11,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L003_R1_001.fastq.gz,9.63,HiC
HG00609,HG00609-38a-2_S10_L004_R1_001.fastq.gz,SRR30613624,SRP305758,PRJNA701308,SAMN26237492,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,4.03,s3://human-pangenomics/working/HPRC/HG00609/raw_data/hic/HG00609-38a-2_S10_L004_R1_001.fastq.gz,12.49,HiC
HG00642,HG00642-33b-1_S9_L001_R1_001.fastq.gz,SRR30613615,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,6.82,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L001_R1_001.fastq.gz,21.13,HiC
HG00642,HG00642-33b-1_S9_L002_R1_001.fastq.gz,SRR30613606,SRP305758,PRJNA701308,SAMN26267378,Hi-C,GENOMIC,ILLUMINA,Illumina NovaSeq 6000,University of California Santa Cruz,wseligma@ucsc.edu,fastq,6.67,s3://human-pangenomics/working/HPRC/HG00642/raw_data/hic/HG00642-33b-1_S9_L002_R1_001.fastq.gz,20.69,HiC
