sample_id,filetype,filename,path,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,study,accession,bioproject_accession,biosample_accession,generator_contact,generator_facility,library_strategy,library_source,platform,instrument_model,total_gpb,n50,mm_tag,primrose_filename,lima_version
HG01346,bam,m84046_230720_182350_s1.hifi_reads.bc2005.bam,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/m84046_230720_182350_s1.hifi_reads.bc2005.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,21.6,,,,7.0.0,SRP305758,SRR29483239,PRJNA701308,SAMN26267379,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,67.03,18026,TRUE,,2.7.1
HG01884,bam,m84046_230712_231732_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/m84046_230712_231732_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,2.1,,,,7.0.0,SRP305758,SRR29483100,PRJNA701308,SAMN26267393,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,6.39,17430,TRUE,,2.7.1
HG01884,bam,m84046_230707_192442_s1.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/m84046_230707_192442_s1.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,2.7,,,,7.0.0,SRP305758,SRR29483099,PRJNA701308,SAMN26267393,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,8.22,17180,TRUE,,2.7.1
HG01884,bam,m84046_230718_230843_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/m84046_230718_230843_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,3,,,,7.0.0,SRP305758,SRR29483164,PRJNA701308,SAMN26267393,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,9.45,17411,TRUE,,2.7.1
HG01884,bam,m84046_230701_003325_s1.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/m84046_230701_003325_s1.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,13.8,,,,7.0.0,SRP305758,SRR29483163,PRJNA701308,SAMN26267393,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,42.66,17295,TRUE,,2.7.1
HG02647,bam,m84046_230707_202610_s3.hifi_reads.bc2060.bam,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/m84046_230707_202610_s3.hifi_reads.bc2060.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,14.9,,,,7.0.0,SRP305758,SRR29483162,PRJNA701308,SAMN26267383,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,46.23,19487,TRUE,,2.7.1
HG03942,bam,m84046_230711_230656_s2.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_HiFi/m84046_230711_230656_s2.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,22.4,,,,7.0.0,SRP305758,SRR29483090,PRJNA701308,SAMN26267387,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,69.47,17624,TRUE,,2.7.1
HG04228,bam,m84046_230617_033126_s1.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG04228/raw_data/PacBio_HiFi/m84046_230617_033126_s1.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.4,,,,7.0.0,SRP305758,SRR29483062,PRJNA701308,SAMN26267391,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,47.77,18527,TRUE,,2.7.1
HG02293,bam,m84046_230718_233949_s3.hifi_reads.default.bam,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/m84046_230718_233949_s3.hifi_reads.default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,7.1,,,,7.0.0,SRP305758,SRR29483074,PRJNA701308,SAMN26267394,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,22.14,18309,TRUE,,2.7.1
HG02293,bam,m84046_230707_205716_s4.default--default.bam,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/m84046_230707_205716_s4.default--default.bam,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,15.1,,,,7.0.0,SRP305758,SRR29483072,PRJNA701308,SAMN26267394,kmiyamot@uw.edu,University of Washington,WGS,GENOMIC,PACBIO_SMRT,Revio,46.86,18179,TRUE,,2.7.1
