sample_id,total_gbp,coverage,filetype,instrument_model,library_strategy,family_id,paternal_id,maternal_id,gender,relationship,siblings,second_order,third_order,other_comments,phasing,path,filename,paternal_path,paternal_filename,maternal_path,maternal_filename
HG01255,116.58,37.61,cram,Illumina NovaSeq 6000,WGS,CLM15,HG01253,HG01254,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01255/raw_data/Illumina/child/HG01255.final.cram,HG01255.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01255/Illumina/parents/HG01253/HG01253.final.cram,HG01253.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01255/Illumina/parents/HG01254/HG01254.final.cram,HG01254.final.cram
HG02738,139.16,44.89,cram,Illumina NovaSeq 6000,WGS,PK27,HG02736,HG02737,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02738/raw_data/Illumina/child/HG02738.final.cram,HG02738.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02738/Illumina/parents/HG02736/HG02736.final.cram,HG02736.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02738/Illumina/parents/HG02737/HG02737.final.cram,HG02737.final.cram
HG04157,115.17,37.15,cram,Illumina NovaSeq 6000,WGS,BD52,HG04155,HG04156,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04157/raw_data/Illumina/child/HG04157.final.cram,HG04157.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04157/Illumina/parents/HG04155/HG04155.final.cram,HG04155.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04157/Illumina/parents/HG04156/HG04156.final.cram,HG04156.final.cram
HG02074,142.7,46.03,cram,Illumina NovaSeq 6000,WGS,VN066,HG02076,HG02075,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02074/raw_data/Illumina/child/HG02074.final.cram,HG02074.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02074/Illumina/parents/HG02076/HG02076.final.cram,HG02076.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02074/Illumina/parents/HG02075/HG02075.final.cram,HG02075.final.cram
HG01993,113.38,36.57,cram,Illumina NovaSeq 6000,WGS,PEL29,HG01991,HG01992,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01993/raw_data/Illumina/child/HG01993.final.cram,HG01993.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01993/Illumina/parents/HG01991/HG01991.final.cram,HG01991.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01993/Illumina/parents/HG01992/HG01992.final.cram,HG01992.final.cram
HG03669,116.86,37.7,cram,Illumina NovaSeq 6000,WGS,PK58,HG03667,HG03668,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03669/raw_data/Illumina/child/HG03669.final.cram,HG03669.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03669/Illumina/parents/HG03667/HG03667.final.cram,HG03667.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03669/Illumina/parents/HG03668/HG03668.final.cram,HG03668.final.cram
HG01943,110.57,35.67,cram,Illumina NovaSeq 6000,WGS,PEL016,HG01941,HG01942,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01943/raw_data/Illumina/child/HG01943.final.cram,HG01943.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01943/Illumina/parents/HG01941/HG01941.final.cram,HG01941.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01943/Illumina/parents/HG01942/HG01942.final.cram,HG01942.final.cram
HG02698,110.83,35.75,cram,Illumina NovaSeq 6000,WGS,PK21,HG02696,HG02697,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02698/raw_data/Illumina/child/HG02698.final.cram,HG02698.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02698/Illumina/parents/HG02696/HG02696.final.cram,HG02696.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02698/Illumina/parents/HG02697/HG02697.final.cram,HG02697.final.cram
HG04187,111.2,35.87,cram,Illumina NovaSeq 6000,WGS,BD62,HG04185,HG04186,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04187/raw_data/Illumina/child/HG04187.final.cram,HG04187.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04187/Illumina/parents/HG04185/HG04185.final.cram,HG04185.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04187/Illumina/parents/HG04186/HG04186.final.cram,HG04186.final.cram
HG00706,114.05,36.79,cram,Illumina NovaSeq 6000,WGS,SH090,HG00704,HG00705,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG00706/raw_data/Illumina/child/HG00706.final.cram,HG00706.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00706/Illumina/parents/HG00704/HG00704.final.cram,HG00704.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00706/Illumina/parents/HG00705/HG00705.final.cram,HG00705.final.cram
HG03942,111.83,36.07,cram,Illumina NovaSeq 6000,WGS,BD42,HG03941,HG03940,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03942/raw_data/Illumina/child/HG03942.final.cram,HG03942.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03942/Illumina/parents/HG03941/HG03941.final.cram,HG03941.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03942/Illumina/parents/HG03940/HG03940.final.cram,HG03940.final.cram
HG04184,107.23,34.59,cram,Illumina NovaSeq 6000,WGS,BD61,HG04182,HG04183,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04184/raw_data/Illumina/child/HG04184.final.cram,HG04184.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04184/Illumina/parents/HG04182/HG04182.final.cram,HG04182.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04184/Illumina/parents/HG04183/HG04183.final.cram,HG04183.final.cram
HG04204,112.5,36.29,cram,Illumina NovaSeq 6000,WGS,ST006,HG03679,HG03642,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG04204/raw_data/Illumina/child/HG04204.final.cram,HG04204.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04204/Illumina/parents/HG03679/HG03679.final.cram,HG03679.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG04204/Illumina/parents/HG03642/HG03642.final.cram,HG03642.final.cram
HG02280,122.27,39.44,cram,Illumina NovaSeq 6000,WGS,BB23,HG02307,HG02308,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02280/raw_data/Illumina/child/HG02280.final.cram,HG02280.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02280/Illumina/parents/HG02307/HG02307.final.cram,HG02307.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02280/Illumina/parents/HG02308/HG02308.final.cram,HG02308.final.cram
HG01981,113.92,36.75,cram,Illumina NovaSeq 6000,WGS,PEL27,HG01979,HG01980,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01981/raw_data/Illumina/child/HG01981.final.cram,HG01981.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01981/Illumina/parents/HG01979/HG01979.final.cram,HG01979.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01981/Illumina/parents/HG01980/HG01980.final.cram,HG01980.final.cram
HG03804,106.24,34.27,cram,Illumina NovaSeq 6000,WGS,BD18,HG03803,HG03802,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03804/raw_data/Illumina/child/HG03804.final.cram,HG03804.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03804/Illumina/parents/HG03803/HG03803.final.cram,HG03803.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03804/Illumina/parents/HG03802/HG03802.final.cram,HG03802.final.cram
HG00642,115.51,37.26,cram,Illumina NovaSeq 6000,WGS,PR04,HG00640,HG00641,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG00642/raw_data/Illumina/child/HG00642.final.cram,HG00642.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00642/Illumina/parents/HG00640/HG00640.final.cram,HG00640.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00642/Illumina/parents/HG00641/HG00641.final.cram,HG00641.final.cram
HG00609,116.01,37.42,cram,Illumina NovaSeq 6000,WGS,SH062,HG00607,HG00608,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG00609/raw_data/Illumina/child/HG00609.final.cram,HG00609.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00609/Illumina/parents/HG00607/HG00607.final.cram,HG00607.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG00609/Illumina/parents/HG00608/HG00608.final.cram,HG00608.final.cram
HG02132,115.11,37.13,cram,Illumina NovaSeq 6000,WGS,VN080,HG02134,HG02133,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02132/raw_data/Illumina/child/HG02132.final.cram,HG02132.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02132/Illumina/parents/HG02134/HG02134.final.cram,HG02134.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02132/Illumina/parents/HG02133/HG02133.final.cram,HG02133.final.cram
HG03831,110.63,35.69,cram,Illumina NovaSeq 6000,WGS,BD27,HG03830,HG03829,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03831/raw_data/Illumina/child/HG03831.final.cram,HG03831.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03831/Illumina/parents/HG03830/HG03830.final.cram,HG03830.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03831/Illumina/parents/HG03829/HG03829.final.cram,HG03829.final.cram
HG02602,119.51,38.55,cram,Illumina NovaSeq 6000,WGS,PK09,HG02600,HG02601,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG02602/raw_data/Illumina/child/HG02602.final.cram,HG02602.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02602/Illumina/parents/HG02600/HG02600.final.cram,HG02600.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02602/Illumina/parents/HG02601/HG02601.final.cram,HG02601.final.cram
HG01496,106.29,34.29,cram,Illumina NovaSeq 6000,WGS,CLM64,HG01494,HG01495,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01496/raw_data/Illumina/child/HG01496.final.cram,HG01496.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01496/Illumina/parents/HG01494/HG01494.final.cram,HG01494.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01496/Illumina/parents/HG01495/HG01495.final.cram,HG01495.final.cram
HG02300,117.37,37.86,cram,Illumina NovaSeq 6000,WGS,PEL52,HG02299,HG02298,1,child,0,HG02302,0,0,trio,s3://human-pangenomics/working/HPRC/HG02300/raw_data/Illumina/child/HG02300.final.cram,HG02300.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02300/Illumina/parents/HG02299/HG02299.final.cram,HG02299.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG02300/Illumina/parents/HG02298/HG02298.final.cram,HG02298.final.cram
HG03927,109.5,35.32,cram,Illumina NovaSeq 6000,WGS,BD37,HG03926,HG03925,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03927/raw_data/Illumina/child/HG03927.final.cram,HG03927.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03927/Illumina/parents/HG03926/HG03926.final.cram,HG03926.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03927/Illumina/parents/HG03925/HG03925.final.cram,HG03925.final.cram
HG01346,114.44,36.92,cram,Illumina NovaSeq 6000,WGS,CLM27,HG01344,HG01345,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01346/raw_data/Illumina/child/HG01346.final.cram,HG01346.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01346/Illumina/parents/HG01344/HG01344.final.cram,HG01344.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01346/Illumina/parents/HG01345/HG01345.final.cram,HG01345.final.cram
HG01099,123.1,39.71,cram,Illumina NovaSeq 6000,WGS,PR31,HG01097,HG01098,1,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG01099/raw_data/Illumina/child/HG01099.final.cram,HG01099.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01099/Illumina/parents/HG01097/HG01097.final.cram,HG01097.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG01099/Illumina/parents/HG01098/HG01098.final.cram,HG01098.final.cram
HG03816,102.47,33.06,cram,Illumina NovaSeq 6000,WGS,BD22,HG03815,HG03814,2,child,0,0,0,0,trio,s3://human-pangenomics/working/HPRC/HG03816/raw_data/Illumina/child/HG03816.final.cram,HG03816.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03816/Illumina/parents/HG03815/HG03815.final.cram,HG03815.final.cram,s3://human-pangenomics/submissions/AD30A684-C7A8-4D24-89B2-040DFF021B0C--Y2_1000G_DATA/HG03816/Illumina/parents/HG03814/HG03814.final.cram,HG03814.final.cram
