sample_id,path,total_reads,filename,study,bioproject_accession,accession,biosample_accession,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,platform,instrument_model,ccs_algorithm,library_strategy,library_source,pool,generator_contact
HG02071,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240713_091428_s4.flnc.bam,6651858,HG02071.lymph.m84046_240713_091428_s4.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240713_091428_s4,NA,bc10,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG02071,s3://human-pangenomics/working/HPRC/HG02071/raw_data/PacBio_Kinnex/HG02071.lymph.m84046_240717_125059_s3.flnc.bam,8168841,HG02071.lymph.m84046_240717_125059_s3.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-6.bam,m84046_240717_125059_s3,NA,bc10,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG02074,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240713_051553_s2.flnc.bam,5535067,HG02074.lymph.m84046_240713_051553_s2.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240713_051553_s2,NA,bc07,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool001.KN,iviolich@ucsc.edu
HG02074,s3://human-pangenomics/working/HPRC/HG02074/raw_data/PacBio_Kinnex/HG02074.lymph.m84046_240722_012946_s4.flnc.bam,6066981,HG02074.lymph.m84046_240722_012946_s4.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240722_012946_s4,NA,bc07,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool001.KN,iviolich@ucsc.edu
HG02132,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_Kinnex/HG02132.lymph.m84046_240713_051553_s2.flnc.bam,6399154,HG02132.lymph.m84046_240713_051553_s2.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240713_051553_s2,NA,bc02,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool001.KN,iviolich@ucsc.edu
HG02132,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_Kinnex/HG02132.lymph.m84046_240722_012946_s4.flnc.bam,7010005,HG02132.lymph.m84046_240722_012946_s4.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-2.bam,m84046_240722_012946_s4,NA,bc02,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool001.KN,iviolich@ucsc.edu
HG02135,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_Kinnex/HG02135.lymph.m84046_240713_091428_s4.flnc.bam,6529494,HG02135.lymph.m84046_240713_091428_s4.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-5.bam,m84046_240713_091428_s4,NA,bc09,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG02135,s3://human-pangenomics/working/HPRC/HG02135/raw_data/PacBio_Kinnex/HG02135.lymph.m84046_240717_125059_s3.flnc.bam,8028376,HG02135.lymph.m84046_240717_125059_s3.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-5.bam,m84046_240717_125059_s3,NA,bc09,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG03942,s3://human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_Kinnex/HG03942.lymph.m84046_240713_091428_s4.flnc.bam,6555713,HG03942.lymph.m84046_240713_091428_s4.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240713_091428_s4,NA,bc11,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
HG03942,s3://human-pangenomics/working/HPRC/HG03942/raw_data/PacBio_Kinnex/HG03942.lymph.m84046_240717_125059_s3.flnc.bam,8028923,HG03942.lymph.m84046_240717_125059_s3.flnc.bam,SRP305758,PRJNA701308,,,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240717_125059_s3,NA,bc11,PACBIO,REVIO,8.0.1,isoseq,transcriptomic,HPRC_Pool003.KN,iviolich@ucsc.edu
