sample_id,filename,filetype,biosample_accession,library_strategy,library_source,platform,instrument_model,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,read_N50,total_gbp,coverage,100kb+,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG00642,08_10_21_R941_HG00642_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267378,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00642/raw_data/nanopore/guppy_6/08_10_21_R941_HG00642_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,101008,68.63,20.8,10.52,7,SRR26313832,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02698,07_20_21_R941_HG02698_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,70225,114.21,34.61,9.89,0,SRR26313845,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02698,07_20_21_R941_HG02698_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,67825,23.99,7.27,1.95,0,SRR26313845,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02698,07_20_21_R941_HG02698_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,64031,23.2,7.03,1.79,0,SRR26313845,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02698,07_20_21_R941_HG02698_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,67680,91.79,27.81,7.5,0,SRR26313845,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02698,07_20_21_R941_HG02698_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/guppy_6/07_20_21_R941_HG02698_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,67466,19.6,5.94,1.6,0,SRR26313845,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00642,08_10_21_R941_HG00642_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267378,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00642/raw_data/nanopore/guppy_6/08_10_21_R941_HG00642_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,95618,91.35,27.68,13.15,5,SRR26313832,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02738,08_17_21_R941_HG02738_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267396,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/guppy_6/08_17_21_R941_HG02738_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,75231,20.37,6.17,2.19,5,SRR26313857,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02738,08_17_21_R941_HG02738_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267396,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/guppy_6/08_17_21_R941_HG02738_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,84858,70.92,21.49,8.82,6,SRR26313857,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02738,08_17_21_R941_HG02738_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26267396,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02738/raw_data/nanopore/guppy_6/08_17_21_R941_HG02738_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,85682,95.7,29,12.07,16,SRR26313857,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02809,08_17_21_R941_HG02809_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237510,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,88827,48.89,14.81,6.43,3,SRR26313862,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02809,08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237510,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,93836,74.33,22.52,10.41,4,SRR26313862,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG02809,08_17_21_R941_HG02809_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237510,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/guppy_6/08_17_21_R941_HG02809_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,91856,84.25,25.53,11.5,3,SRR26313862,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03669,07_27_21_R941_HG03669_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237512,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,81595,82.25,24.92,9.12,0,SRR26313828,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00706,07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706905,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72401,74.09,22.45,7.11,1,SRR26304608,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03669,07_27_21_R941_HG03669_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237512,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,77047,11.04,3.34,1.12,0,SRR26313828,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03669,07_27_21_R941_HG03669_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237512,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,78086,83.29,25.24,8.62,0,SRR26313828,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03669,07_27_21_R941_HG03669_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237512,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/guppy_6/07_27_21_R941_HG03669_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,79377,24.32,7.37,2.58,0,SRR26313828,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03710,07_20_21_R941_HG03710_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237513,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,70962,83.88,25.42,8.19,9,SRR26313830,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG00706,07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706905,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.4.6,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00706/raw_data/nanopore/guppy_6/07_13_21_R941_HG00706_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam,72132,89.85,27.23,8.6,3,SRR26304608,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03710,07_20_21_R941_HG03710_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237513,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,72459,7.22,2.19,0.72,2,SRR26313830,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03710,07_20_21_R941_HG03710_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237513,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,71735,100.83,30.55,10.03,14,SRR26313830,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03710,07_20_21_R941_HG03710_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN26237513,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03710/raw_data/nanopore/guppy_6/07_20_21_R941_HG03710_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,71374,29.92,9.07,2.9,0,SRR26313830,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03804,07_20_21_R941_HG03804_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706907,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/guppy_6/07_20_21_R941_HG03804_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,84812,105.33,31.92,13.09,0,SRR26304606,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03804,07_20_21_R941_HG03804_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706907,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/guppy_6/07_20_21_R941_HG03804_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,83161,92.91,28.16,11.27,0,SRR26304606,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03804,07_20_21_R941_HG03804_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706907,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/guppy_6/07_20_21_R941_HG03804_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,85557,106.31,32.21,13.44,1,SRR26304606,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
HG03816,07_20_21_R941_HG03816_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,bam,SAMN37706908,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK001,guppy,6.5.7,dna_r9.4.1_450bps_modbases_5mc_cg_sup_prom.cfg,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/guppy_6/07_20_21_R941_HG03816_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam,67158,95.51,28.94,8.56,9,SRR26304605,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2,R941
