sample_id,accession,study,bioproject_accession,biosample_accession,library_strategy,library_source,platform,instrument_model,filetype,deepconsensus_version,generator_facility,generator_contact,filename,total_gbp,n50,path,production,coverage
HG00544,SRR25618943,SRP305758,PRJNA701308,SAMN26237491,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00544.m64136_210520_180433.dc.q20.fastq.gz,31.81,19153,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64136_210520_180433.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.26
HG00544,SRR25618932,SRP305758,PRJNA701308,SAMN26237491,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00544.m64043_210702_183246.dc.q20.fastq.gz,42.6,18722,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64043_210702_183246.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.74
HG00609,SRR25618921,SRP305758,PRJNA701308,SAMN26237492,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00609.m64136_210622_163607.dc.q20.fastq.gz,39.05,19886,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00609.m64136_210622_163607.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.6
HG00642,SRR25618910,SRP305758,PRJNA701308,SAMN26267378,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG00642.m54329U_210524_174516.dc.q20.fastq.gz,41.9,20305,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m54329U_210524_174516.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.52
HG00738,SRR25618909,SRP305758,PRJNA701308,SAMN26237493,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00738.m64043_210530_003337.dc.q20.fastq.gz,30.2,20930,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00738.m64043_210530_003337.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.74
HG01099,SRR25618908,SRP305758,PRJNA701308,SAMN26237494,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01099.m64043_210704_052805.dc.q20.fastq.gz,41.92,19507,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01099.m64043_210704_052805.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.52
HG01255,SRR25618907,SRP305758,PRJNA701308,SAMN26237495,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01255.m64043_210520_180149.dc.q20.fastq.gz,36.16,20310,s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01255.m64043_210520_180149.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.67
HG01346,SRR25618906,SRP305758,PRJNA701308,SAMN26267379,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01346.m54329U_210624_221223.dc.q20.fastq.gz,40.7,18480,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m54329U_210624_221223.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.13
HG01346,SRR25618905,SRP305758,PRJNA701308,SAMN26267379,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01346.m64076_210526_105450.dc.q20.fastq.gz,22.21,18725,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m64076_210526_105450.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.17
HG01496,SRR25618941,SRP305758,PRJNA701308,SAMN26237497,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01496.m64043_210625_184443.dc.q20.fastq.gz,42.93,22391,s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01496.m64043_210625_184443.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.85
HG01884,SRR25618940,SRP305758,PRJNA701308,SAMN26267393,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01884.m54329U_210713_205453.dc.q20.fastq.gz,38.96,18008,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01884.m54329U_210713_205453.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.57
HG01943,SRR25618939,SRP305758,PRJNA701308,SAMN26237499,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01943.m64043_210716_230222.dc.q20.fastq.gz,38.63,18763,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01943.m64043_210716_230222.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.46
HG01981,SRR25618938,SRP305758,PRJNA701308,SAMN26237500,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01981.m64136_210625_184731.dc.q20.fastq.gz,37.76,22141,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210625_184731.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.18
HG01993,SRR25618937,SRP305758,PRJNA701308,SAMN26237501,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01993.m64043_210620_041711.dc.q20.fastq.gz,41.42,20732,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01993.m64043_210620_041711.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.36
HG02004,SRR25618936,SRP305758,PRJNA701308,SAMN26237502,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02004.m64043_210709_205614.dc.q20.fastq.gz,35.55,19581,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02004.m64043_210709_205614.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.47
HG02132,SRR25618933,SRP305758,PRJNA701308,SAMN26267382,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02132.m54329U_210627_170630.dc.q20.fastq.gz,43.56,20121,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m54329U_210627_170630.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,14.05
HG02132,SRR25618931,SRP305758,PRJNA701308,SAMN26267382,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02132.m64076_210525_000003.dc.q20.fastq.gz,22.49,19482,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m64076_210525_000003.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.26
HG02280,SRR25618930,SRP305758,PRJNA701308,SAMN26237505,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02280.m64136_210716_230343.dc.q20.fastq.gz,36.67,19256,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02280.m64136_210716_230343.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.83
HG02293,SRR25618929,SRP305758,PRJNA701308,SAMN26267394,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02293.m54329U_210719_222842.dc.q20.fastq.gz,41.21,19008,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02293.m54329U_210719_222842.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.29
